172.19.0.13 - - [18/Apr/2020:13:18:35 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
172.19.0.13 - - [18/Apr/2020:13:18:37 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.64 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; FunWebProducts; .NET4.0C; McAfee; AskTbFWV5/5.15.25.44892)"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET /fwcwk HTTP/1.0" 404 555 "-" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:05 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.81 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:05 +0200] "GET /zggje HTTP/1.0" 404 153 "-" "Opera/9.80 (SpreadTrum; Opera Mini/4.4.31492/60.313; U; fr) Presto/2.12.423 Version/12.16"
172.19.0.16 - - [18/Apr/2020:13:27:06 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (Linux; Android 4.1.2; GT-N8010 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.122 Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:06 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.98 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:06 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.5; AOLBuild 4337.5400; Windows NT 5.1; Trident/4.0; GTB5; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; BRI/1; .NET4.0C; .NET CLR 2.0.50727; McAfee)"
172.19.0.16 - - [18/Apr/2020:13:27:07 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (Linux; Android 4.4.2; TM-MID790G Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36"
