172.19.0.13 - - [18/Apr/2020:13:18:35 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
172.19.0.13 - - [18/Apr/2020:13:18:36 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; Media Center PC 6.0)"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 8.0.0; SC-02J Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/165.0.0.25.92;]"
172.19.0.16 - - [18/Apr/2020:13:27:04 +0200] "GET /qgadl HTTP/1.0" 404 555 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:05 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; .NET CLR 3.0.30618; .NET CLR 3.5.21022; MS-RTC LM 8; SLCC1; InfoPath.3)"
172.19.0.16 - - [18/Apr/2020:13:27:05 +0200] "GET /hougi HTTP/1.0" 404 555 "https://google.com" "Mozilla/5.0 (Linux; Android 8.0.0; SC-02J Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/165.0.0.25.92;]"
172.19.0.16 - - [18/Apr/2020:13:27:05 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.81 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:06 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E; BRI/2; 360SE)"
172.19.0.16 - - [18/Apr/2020:13:27:06 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 1.0.3705; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
172.19.0.16 - - [18/Apr/2020:13:27:07 +0200] "GET / HTTP/1.0" 200 17 "https://google.com" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:07 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; Media Center PC 6.0)"
172.19.0.16 - - [18/Apr/2020:13:27:07 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; SiteKiosk 7.8 Build 332)"
172.19.0.16 - - [18/Apr/2020:13:27:07 +0200] "GET / HTTP/1.0" 200 17 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; SiteKiosk 7.8 Build 332)"
172.19.0.16 - - [18/Apr/2020:13:27:08 +0200] "GET /uphxu HTTP/1.0" 404 153 "https://google.com" "Mozilla/5.0 (Linux; U; Android 4.1.2; es-us; SGH-T999N Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30evme-launcher"
172.19.0.16 - - [18/Apr/2020:13:27:08 +0200] "GET /ijhlb HTTP/1.0" 404 555 "-" "Mozilla/5.0 (Linux; Android 7.0; LGL84VL Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.98 Mobile Safari/537.36"
172.19.0.16 - - [18/Apr/2020:13:27:09 +0200] "GET /tydrs HTTP/1.0" 404 153 "https://google.com" "Mozilla/5.0 (Linux; U; Android 4.1.2; es-us; SGH-T999N Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30evme-launcher"
172.19.0.16 - - [18/Apr/2020:13:27:09 +0200] "GET /qcoyt HTTP/1.0" 404 153 "https://google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) CriOS/32.0.1700.20 Mobile/10B350 Safari/8536.25"
172.19.0.16 - - [18/Apr/2020:13:27:09 +0200] "GET /wdxop HTTP/1.0" 404 153 "-" "Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SCH-R720 Build/GINGERBREAD) AppleWebKit/530.17 (KHTML, like Gecko) FlyFlow/2.4 Version/4.0 Mobile Safari/530.17 T5/1.0"
